,ranking_date,rank,player,points,full_name
1648181,2017-08-21,5,104925,5325.0,Novak Djokovic
1650266,2017-08-28,1,104745,7645.0,Rafael Nadal
1650267,2017-08-28,2,104918,7150.0,Andy Murray
1650268,2017-08-28,3,103819,7145.0,Roger Federer
1650269,2017-08-28,4,104527,5690.0,Stan Wawrinka
1650270,2017-08-28,5,104925,5325.0,Novak Djokovic
1652358,2017-09-11,1,104745,9465.0,Rafael Nadal
1652359,2017-09-11,2,103819,7505.0,Roger Federer
1652360,2017-09-11,3,104918,6790.0,Andy Murray
1652361,2017-09-11,4,100644,4470.0,Alexander Zverev
1652362,2017-09-11,5,105227,4155.0,Marin Cilic
1654460,2017-09-18,1,104745,9465.0,Rafael Nadal
1654461,2017-09-18,2,103819,7505.0,Roger Federer
1654462,2017-09-18,3,104918,6790.0,Andy Murray
1654463,2017-09-18,4,100644,4470.0,Alexander Zverev
1654464,2017-09-18,5,105227,4155.0,Marin Cilic
1656559,2017-09-25,1,104745,9465.0,Rafael Nadal
1656560,2017-09-25,2,103819,7505.0,Roger Federer
1656561,2017-09-25,3,104918,6790.0,Andy Murray
1656562,2017-09-25,4,100644,4310.0,Alexander Zverev
1656563,2017-09-25,5,105227,4155.0,Marin Cilic
1658649,2017-10-02,1,104745,9465.0,Rafael Nadal
1658650,2017-10-02,2,103819,7505.0,Roger Federer
1658651,2017-10-02,3,104918,6790.0,Andy Murray
1658652,2017-10-02,4,100644,4310.0,Alexander Zverev
1658653,2017-10-02,5,105227,4155.0,Marin Cilic
1660745,2017-10-09,1,104745,9875.0,Rafael Nadal
1660746,2017-10-09,2,103819,7505.0,Roger Federer
1660747,2017-10-09,3,104918,6290.0,Andy Murray
1660748,2017-10-09,4,100644,4400.0,Alexander Zverev
1660749,2017-10-09,5,105227,4155.0,Marin Cilic
1662838,2017-10-16,1,104745,10465.0,Rafael Nadal
1662839,2017-10-16,2,103819,8505.0,Roger Federer
1662840,2017-10-16,3,104918,5290.0,Andy Murray
1662841,2017-10-16,4,105227,4505.0,Marin Cilic
1662842,2017-10-16,5,100644,4400.0,Alexander Zverev
1664924,2017-10-23,1,104745,10465.0,Rafael Nadal
1664925,2017-10-23,2,103819,8505.0,Roger Federer
1664926,2017-10-23,3,104918,5290.0,Andy Murray
1664927,2017-10-23,4,105227,4505.0,Marin Cilic
1664928,2017-10-23,5,100644,4400.0,Alexander Zverev
1667005,2017-10-30,1,104745,10465.0,Rafael Nadal
1667006,2017-10-30,2,103819,9005.0,Roger Federer
1667007,2017-10-30,3,104918,4790.0,Andy Murray
1667008,2017-10-30,4,100644,4400.0,Alexander Zverev
1667009,2017-10-30,5,105227,4185.0,Marin Cilic
1669068,2017-11-06,1,104745,10645.0,Rafael Nadal
1669069,2017-11-06,2,103819,9005.0,Roger Federer
1669070,2017-11-06,3,100644,4410.0,Alexander Zverev
1669071,2017-11-06,4,106233,3815.0,Dominic Thiem
1669072,2017-11-06,5,105227,3805.0,Marin Cilic
1671111,2017-11-13,1,104745,10645.0,Rafael Nadal
1671112,2017-11-13,2,103819,9005.0,Roger Federer
1671113,2017-11-13,3,100644,4410.0,Alexander Zverev
1671114,2017-11-13,4,106233,3815.0,Dominic Thiem
1671115,2017-11-13,5,105227,3805.0,Marin Cilic
1673138,2017-11-20,1,104745,10645.0,Rafael Nadal
1673139,2017-11-20,2,103819,9605.0,Roger Federer
1673140,2017-11-20,3,105777,5150.0,Grigor Dimitrov
1673141,2017-11-20,4,100644,4610.0,Alexander Zverev
1673142,2017-11-20,5,106233,4015.0,Dominic Thiem
1675138,2017-11-27,1,104745,10645.0,Rafael Nadal
1675139,2017-11-27,2,103819,9605.0,Roger Federer
1675140,2017-11-27,3,105777,5150.0,Grigor Dimitrov
1675141,2017-11-27,4,100644,4610.0,Alexander Zverev
1675142,2017-11-27,5,106233,4015.0,Dominic Thiem
1677136,2017-12-04,1,104745,10645.0,Rafael Nadal
1677137,2017-12-04,2,103819,9605.0,Roger Federer
1677138,2017-12-04,3,105777,5150.0,Grigor Dimitrov
1677139,2017-12-04,4,100644,4610.0,Alexander Zverev
1677140,2017-12-04,5,106233,4015.0,Dominic Thiem
1679133,2017-12-11,1,104745,10645.0,Rafael Nadal
1679134,2017-12-11,2,103819,9605.0,Roger Federer
1679135,2017-12-11,3,105777,5150.0,Grigor Dimitrov
1679136,2017-12-11,4,100644,4610.0,Alexander Zverev
1679137,2017-12-11,5,106233,4015.0,Dominic Thiem
1681118,2017-12-18,1,104745,10645.0,Rafael Nadal
1681119,2017-12-18,2,103819,9605.0,Roger Federer
1681120,2017-12-18,3,105777,5150.0,Grigor Dimitrov
1681121,2017-12-18,4,100644,4610.0,Alexander Zverev
1681122,2017-12-18,5,106233,4015.0,Dominic Thiem
1683113,2017-12-25,1,104745,10645.0,Rafael Nadal
1683114,2017-12-25,2,103819,9605.0,Roger Federer
1683115,2017-12-25,3,105777,5150.0,Grigor Dimitrov
1683116,2017-12-25,4,100644,4610.0,Alexander Zverev
1683117,2017-12-25,5,106233,4015.0,Dominic Thiem
1685098,2018-01-01,1,104745,10645.0,Rafael Nadal
1685099,2018-01-01,2,103819,9605.0,Roger Federer
1685100,2018-01-01,3,105777,5150.0,Grigor Dimitrov
1685101,2018-01-01,4,100644,4610.0,Alexander Zverev
1685102,2018-01-01,5,106233,4015.0,Dominic Thiem
1687086,2018-01-08,1,104745,10600.0,Rafael Nadal
1687087,2018-01-08,2,103819,9605.0,Roger Federer
1687088,2018-01-08,3,105777,4990.0,Grigor Dimitrov
1687089,2018-01-08,4,100644,4610.0,Alexander Zverev
1687090,2018-01-08,5,106233,4060.0,Dominic Thiem
1689070,2018-01-15,1,104745,10600.0,Rafael Nadal
1689071,2018-01-15,2,103819,9605.0,Roger Federer
1689072,2018-01-15,3,105777,4990.0,Grigor Dimitrov
1689073,2018-01-15,4,100644,4610.0,Alexander Zverev
1689074,2018-01-15,5,106233,4060.0,Dominic Thiem
1691051,2018-01-29,1,104745,9760.0,Rafael Nadal
1691052,2018-01-29,2,103819,9605.0,Roger Federer
1691053,2018-01-29,3,105227,4960.0,Marin Cilic
1691054,2018-01-29,4,105777,4630.0,Grigor Dimitrov
1691055,2018-01-29,5,100644,4610.0,Alexander Zverev
1693027,2018-02-05,1,104745,9760.0,Rafael Nadal
1693028,2018-02-05,2,103819,9605.0,Roger Federer
1693029,2018-02-05,3,105227,4960.0,Marin Cilic
1693030,2018-02-05,4,105777,4630.0,Grigor Dimitrov
1693031,2018-02-05,5,100644,4610.0,Alexander Zverev
1695001,2018-02-12,1,104745,9760.0,Rafael Nadal
1695002,2018-02-12,2,103819,9605.0,Roger Federer
1695003,2018-02-12,3,105227,4960.0,Marin Cilic
1695004,2018-02-12,4,100644,4450.0,Alexander Zverev
1695005,2018-02-12,5,105777,4425.0,Grigor Dimitrov
1696973,2018-02-19,1,103819,10105.0,Roger Federer
1696974,2018-02-19,2,104745,9760.0,Rafael Nadal
1696975,2018-02-19,3,105227,4960.0,Marin Cilic
1696976,2018-02-19,4,105777,4635.0,Grigor Dimitrov
1696977,2018-02-19,5,100644,4450.0,Alexander Zverev
1698945,2018-02-26,1,103819,10105.0,Roger Federer
1698946,2018-02-26,2,104745,9760.0,Rafael Nadal
1698947,2018-02-26,3,105227,4960.0,Marin Cilic
1698948,2018-02-26,4,105777,4635.0,Grigor Dimitrov
1698949,2018-02-26,5,100644,4450.0,Alexander Zverev
1700914,2018-03-05,1,103819,10060.0,Roger Federer
1700915,2018-03-05,2,104745,9460.0,Rafael Nadal
1700916,2018-03-05,3,105227,4870.0,Marin Cilic
1700917,2018-03-05,4,105777,4635.0,Grigor Dimitrov
1700918,2018-03-05,5,100644,4540.0,Alexander Zverev
1702881,2018-03-19,1,103819,9660.0,Roger Federer
1702882,2018-03-19,2,104745,9370.0,Rafael Nadal
1702883,2018-03-19,3,105227,4905.0,Marin Cilic
1702884,2018-03-19,4,105777,4600.0,Grigor Dimitrov
1702885,2018-03-19,5,100644,4505.0,Alexander Zverev
1704860,2018-04-02,1,104745,8770.0,Rafael Nadal
1704861,2018-04-02,2,103819,8670.0,Roger Federer
1704862,2018-04-02,3,105227,4985.0,Marin Cilic
1704863,2018-04-02,4,100644,4925.0,Alexander Zverev
1704864,2018-04-02,5,105777,4635.0,Grigor Dimitrov
1706837,2018-04-09,1,104745,8770.0,Rafael Nadal
1706838,2018-04-09,2,103819,8670.0,Roger Federer
1706839,2018-04-09,3,105227,4985.0,Marin Cilic
1706840,2018-04-09,4,100644,4925.0,Alexander Zverev
1706841,2018-04-09,5,105777,4635.0,Grigor Dimitrov
1708814,2018-04-16,1,104745,8770.0,Rafael Nadal
1708815,2018-04-16,2,103819,8670.0,Roger Federer
1708816,2018-04-16,3,105227,4985.0,Marin Cilic
1708817,2018-04-16,4,100644,4925.0,Alexander Zverev
1708818,2018-04-16,5,105777,4635.0,Grigor Dimitrov
1710784,2018-04-23,1,104745,8770.0,Rafael Nadal
1710785,2018-04-23,2,103819,8670.0,Roger Federer
1710786,2018-04-23,3,100644,5195.0,Alexander Zverev
1710787,2018-04-23,4,105227,4985.0,Marin Cilic
1710788,2018-04-23,5,105777,4950.0,Grigor Dimitrov
1712752,2018-04-30,1,104745,8770.0,Rafael Nadal
1712753,2018-04-30,2,103819,8670.0,Roger Federer
1712754,2018-04-30,3,100644,5195.0,Alexander Zverev
1712755,2018-04-30,4,105227,4985.0,Marin Cilic
1712756,2018-04-30,5,105777,4950.0,Grigor Dimitrov
1714718,2018-05-07,1,104745,8770.0,Rafael Nadal
1714719,2018-05-07,2,103819,8670.0,Roger Federer
1714720,2018-05-07,3,100644,5195.0,Alexander Zverev
1714721,2018-05-07,4,105777,4950.0,Grigor Dimitrov
1714722,2018-05-07,5,105227,4780.0,Marin Cilic
1716692,2018-05-14,1,103819,8670.0,Roger Federer
1716693,2018-05-14,2,104745,7950.0,Rafael Nadal
1716694,2018-05-14,3,100644,6015.0,Alexander Zverev
1716695,2018-05-14,4,105777,4870.0,Grigor Dimitrov
1716696,2018-05-14,5,105227,4770.0,Marin Cilic
1718667,2018-05-21,1,104745,8770.0,Rafael Nadal
1718668,2018-05-21,2,103819,8670.0,Roger Federer
1718669,2018-05-21,3,100644,5615.0,Alexander Zverev
1718670,2018-05-21,4,105227,4950.0,Marin Cilic
1718671,2018-05-21,5,105777,4870.0,Grigor Dimitrov
1720643,2018-05-28,1,104745,8770.0,Rafael Nadal
1720644,2018-05-28,2,103819,8670.0,Roger Federer
1720645,2018-05-28,3,100644,5615.0,Alexander Zverev
1720646,2018-05-28,4,105227,4950.0,Marin Cilic
1720647,2018-05-28,5,105777,4870.0,Grigor Dimitrov
1722620,2018-06-11,1,104745,8770.0,Rafael Nadal
1722621,2018-06-11,2,103819,8670.0,Roger Federer
1722622,2018-06-11,3,100644,5965.0,Alexander Zverev
1722623,2018-06-11,4,105223,5080.0,Juan Martin del Potro
1722624,2018-06-11,5,105227,4950.0,Marin Cilic
1724607,2018-06-18,1,103819,8920.0,Roger Federer
1724608,2018-06-18,2,104745,8770.0,Rafael Nadal
1724609,2018-06-18,3,100644,5965.0,Alexander Zverev
1724610,2018-06-18,4,105223,5080.0,Juan Martin del Potro
1724611,2018-06-18,5,105777,4870.0,Grigor Dimitrov
1726596,2018-06-25,1,104745,8770.0,Rafael Nadal
1726597,2018-06-25,2,103819,8720.0,Roger Federer
1726598,2018-06-25,3,100644,5755.0,Alexander Zverev
1726599,2018-06-25,4,105223,5080.0,Juan Martin del Potro
1726600,2018-06-25,5,105227,5060.0,Marin Cilic
1728584,2018-07-02,1,104745,8770.0,Rafael Nadal
1728585,2018-07-02,2,103819,8720.0,Roger Federer
1728586,2018-07-02,3,100644,5755.0,Alexander Zverev
1728587,2018-07-02,4,105223,5080.0,Juan Martin del Potro
1728588,2018-07-02,5,105227,5060.0,Marin Cilic
1730560,2018-07-16,1,104745,9310.0,Rafael Nadal
1730561,2018-07-16,2,103819,7080.0,Roger Federer
1730562,2018-07-16,3,100644,5665.0,Alexander Zverev
1730563,2018-07-16,4,105223,5395.0,Juan Martin del Potro
1730564,2018-07-16,5,104731,4655.0,Kevin Anderson
1732530,2018-07-23,1,104745,9310.0,Rafael Nadal
1732531,2018-07-23,2,103819,7080.0,Roger Federer
1732532,2018-07-23,3,100644,5665.0,Alexander Zverev
1732533,2018-07-23,4,105223,5395.0,Juan Martin del Potro
1732534,2018-07-23,5,104731,4655.0,Kevin Anderson
1734496,2018-07-30,1,104745,9310.0,Rafael Nadal
1734497,2018-07-30,2,103819,7080.0,Roger Federer
1734498,2018-07-30,3,100644,5665.0,Alexander Zverev
1734499,2018-07-30,4,105223,5395.0,Juan Martin del Potro
1734500,2018-07-30,5,104731,4655.0,Kevin Anderson
1736457,2018-08-06,1,104745,9310.0,Rafael Nadal
1736458,2018-08-06,2,103819,7080.0,Roger Federer
1736459,2018-08-06,3,100644,5665.0,Alexander Zverev
1736460,2018-08-06,4,105223,5455.0,Juan Martin del Potro
1736461,2018-08-06,5,105777,4610.0,Grigor Dimitrov
1738414,2018-08-13,1,104745,10220.0,Rafael Nadal
1738415,2018-08-13,2,103819,6480.0,Roger Federer
1738416,2018-08-13,3,105223,5410.0,Juan Martin del Potro
1738417,2018-08-13,4,100644,4845.0,Alexander Zverev
1738418,2018-08-13,5,105777,4700.0,Grigor Dimitrov
1740366,2018-08-20,1,104745,10040.0,Rafael Nadal
1740367,2018-08-20,2,103819,7080.0,Roger Federer
1740368,2018-08-20,3,105223,5500.0,Juan Martin del Potro
1740369,2018-08-20,4,100644,4845.0,Alexander Zverev
1740370,2018-08-20,5,104731,4615.0,Kevin Anderson
1742327,2018-08-27,1,104745,10040.0,Rafael Nadal
1742328,2018-08-27,2,103819,7080.0,Roger Federer
1742329,2018-08-27,3,105223,5500.0,Juan Martin del Potro
1742330,2018-08-27,4,100644,4845.0,Alexander Zverev
1742331,2018-08-27,5,104731,4615.0,Kevin Anderson
1744296,2018-09-10,1,104745,8760.0,Rafael Nadal
1744297,2018-09-10,2,103819,6900.0,Roger Federer
1744298,2018-09-10,3,104925,6445.0,Novak Djokovic
1744299,2018-09-10,4,105223,5980.0,Juan Martin del Potro
1744300,2018-09-10,5,100644,4890.0,Alexander Zverev
1746282,2018-09-17,1,104745,8760.0,Rafael Nadal
1746283,2018-09-17,2,103819,6900.0,Roger Federer
1746284,2018-09-17,3,104925,6445.0,Novak Djokovic
1746285,2018-09-17,4,105223,5980.0,Juan Martin del Potro
1746286,2018-09-17,5,100644,4890.0,Alexander Zverev
1748267,2018-09-24,1,104745,8760.0,Rafael Nadal
1748268,2018-09-24,2,103819,6900.0,Roger Federer
1748269,2018-09-24,3,104925,6445.0,Novak Djokovic
1748270,2018-09-24,4,105223,5980.0,Juan Martin del Potro
1748271,2018-09-24,5,100644,4890.0,Alexander Zverev
1750260,2018-10-01,1,104745,8760.0,Rafael Nadal
1750261,2018-10-01,2,103819,6900.0,Roger Federer
1750262,2018-10-01,3,104925,6445.0,Novak Djokovic
1750263,2018-10-01,4,105223,5980.0,Juan Martin del Potro
1750264,2018-10-01,5,100644,4890.0,Alexander Zverev
1752259,2018-10-08,1,104745,8260.0,Rafael Nadal
1752260,2018-10-08,2,103819,6900.0,Roger Federer
1752261,2018-10-08,3,104925,6445.0,Novak Djokovic
1752262,2018-10-08,4,105223,6130.0,Juan Martin del Potro
1752263,2018-10-08,5,100644,4755.0,Alexander Zverev
1754272,2018-10-15,1,104745,7660.0,Rafael Nadal
1754273,2018-10-15,2,104925,7445.0,Novak Djokovic
1754274,2018-10-15,3,103819,6260.0,Roger Federer
1754275,2018-10-15,4,105223,5860.0,Juan Martin del Potro
1754276,2018-10-15,5,100644,5025.0,Alexander Zverev
1756300,2018-10-22,1,104745,7660.0,Rafael Nadal
1756301,2018-10-22,2,104925,7445.0,Novak Djokovic
1756302,2018-10-22,3,103819,6260.0,Roger Federer
1756303,2018-10-22,4,105223,5760.0,Juan Martin del Potro
1756304,2018-10-22,5,100644,5025.0,Alexander Zverev
1758332,2018-10-29,1,104745,7660.0,Rafael Nadal
1758333,2018-10-29,2,104925,7445.0,Novak Djokovic
1758334,2018-10-29,3,103819,6260.0,Roger Federer
1758335,2018-10-29,4,105223,5460.0,Juan Martin del Potro
1758336,2018-10-29,5,100644,5115.0,Alexander Zverev
1760364,2018-11-05,1,104925,8045.0,Novak Djokovic
1760365,2018-11-05,2,104745,7480.0,Rafael Nadal
1760366,2018-11-05,3,103819,6020.0,Roger Federer
1760367,2018-11-05,4,105223,5300.0,Juan Martin del Potro
1760368,2018-11-05,5,100644,5085.0,Alexander Zverev
1762401,2018-11-12,1,104925,8045.0,Novak Djokovic
1762402,2018-11-12,2,104745,7480.0,Rafael Nadal
1762403,2018-11-12,3,103819,6020.0,Roger Federer
1762404,2018-11-12,4,105223,5300.0,Juan Martin del Potro
1762405,2018-11-12,5,100644,5085.0,Alexander Zverev
1764446,2018-11-19,1,104925,9045.0,Novak Djokovic
1764447,2018-11-19,2,104745,7480.0,Rafael Nadal
1764448,2018-11-19,3,103819,6420.0,Roger Federer
1764449,2018-11-19,4,100644,6385.0,Alexander Zverev
1764450,2018-11-19,5,105223,5300.0,Juan Martin del Potro
1766500,2018-11-26,1,104925,9045.0,Novak Djokovic
1766501,2018-11-26,2,104745,7480.0,Rafael Nadal
1766502,2018-11-26,3,103819,6420.0,Roger Federer
1766503,2018-11-26,4,100644,6385.0,Alexander Zverev
1766504,2018-11-26,5,105223,5300.0,Juan Martin del Potro
1768557,2018-12-03,1,104925,9045.0,Novak Djokovic
1768558,2018-12-03,2,104745,7480.0,Rafael Nadal
1768559,2018-12-03,3,103819,6420.0,Roger Federer
1768560,2018-12-03,4,100644,6385.0,Alexander Zverev
1768561,2018-12-03,5,105223,5300.0,Juan Martin del Potro
1770615,2018-12-10,1,104925,9045.0,Novak Djokovic
1770616,2018-12-10,2,104745,7480.0,Rafael Nadal
1770617,2018-12-10,3,103819,6420.0,Roger Federer
1770618,2018-12-10,4,100644,6385.0,Alexander Zverev
1770619,2018-12-10,5,105223,5300.0,Juan Martin del Potro
1772665,2018-12-17,1,104925,9045.0,Novak Djokovic
1772666,2018-12-17,2,104745,7480.0,Rafael Nadal
1772667,2018-12-17,3,103819,6420.0,Roger Federer
1772668,2018-12-17,4,100644,6385.0,Alexander Zverev
1772669,2018-12-17,5,105223,5300.0,Juan Martin del Potro
1774712,2018-12-24,1,104925,9045.0,Novak Djokovic
1774713,2018-12-24,2,104745,7480.0,Rafael Nadal
1774714,2018-12-24,3,103819,6420.0,Roger Federer
1774715,2018-12-24,4,100644,6385.0,Alexander Zverev
1774716,2018-12-24,5,105223,5300.0,Juan Martin del Potro
1776753,2018-12-31,1,104925,9045.0,Novak Djokovic
1776754,2018-12-31,2,104745,7480.0,Rafael Nadal
1776755,2018-12-31,3,103819,6420.0,Roger Federer
1776756,2018-12-31,4,100644,6385.0,Alexander Zverev
1776757,2018-12-31,5,105223,5300.0,Juan Martin del Potro
1777432,2019-01-07,1,104925,9135.0,Novak Djokovic
1777433,2019-01-07,2,104745,7480.0,Rafael Nadal
1777434,2019-01-07,3,103819,6420.0,Roger Federer
1777435,2019-01-07,4,100644,6385.0,Alexander Zverev
1777436,2019-01-07,5,105223,5300.0,Juan Martin del Potro
1778111,2019-01-14,1,104925,9135.0,Novak Djokovic
1778112,2019-01-14,2,104745,7480.0,Rafael Nadal
1778113,2019-01-14,3,103819,6420.0,Roger Federer
1778114,2019-01-14,4,100644,6385.0,Alexander Zverev
1778115,2019-01-14,5,105223,5150.0,Juan Martin del Potro
1778789,2019-01-28,1,104925,10955.0,Novak Djokovic
1778790,2019-01-28,2,104745,8320.0,Rafael Nadal
1778791,2019-01-28,3,100644,6475.0,Alexander Zverev
1778792,2019-01-28,4,105223,5060.0,Juan Martin del Potro
1778793,2019-01-28,5,104731,4845.0,Kevin Anderson
1779474,2019-02-04,1,104925,10955.0,Novak Djokovic
1779475,2019-02-04,2,104745,8320.0,Rafael Nadal
1779476,2019-02-04,3,100644,6475.0,Alexander Zverev
1779477,2019-02-04,4,105223,5060.0,Juan Martin del Potro
1779478,2019-02-04,5,104731,4845.0,Kevin Anderson
1780159,2019-02-11,1,104925,10955.0,Novak Djokovic
1780160,2019-02-11,2,104745,8320.0,Rafael Nadal
1780161,2019-02-11,3,100644,6475.0,Alexander Zverev
1780162,2019-02-11,4,105223,5060.0,Juan Martin del Potro
1780163,2019-02-11,5,104731,4845.0,Kevin Anderson
1780841,2019-02-18,1,104925,10955.0,Novak Djokovic
1780842,2019-02-18,2,104745,8320.0,Rafael Nadal
1780843,2019-02-18,3,100644,6475.0,Alexander Zverev
1780844,2019-02-18,4,105223,5060.0,Juan Martin del Potro
1780845,2019-02-18,5,104731,4595.0,Kevin Anderson
1781525,2019-02-25,1,104925,10955.0,Novak Djokovic
1781526,2019-02-25,2,104745,8320.0,Rafael Nadal
1781527,2019-02-25,3,100644,6475.0,Alexander Zverev
1781528,2019-02-25,4,105223,5085.0,Juan Martin del Potro
1781529,2019-02-25,5,104731,4595.0,Kevin Anderson
1782207,2019-03-04,1,104925,10955.0,Novak Djokovic
1782208,2019-03-04,2,104745,8365.0,Rafael Nadal
1782209,2019-03-04,3,100644,6595.0,Alexander Zverev
1782210,2019-03-04,4,103819,4600.0,Roger Federer
1782211,2019-03-04,5,105223,4585.0,Juan Martin del Potro
1782889,2019-03-11,1,104925,10955.0,Novak Djokovic
1782890,2019-03-11,2,104745,8365.0,Rafael Nadal
1782891,2019-03-11,3,100644,6595.0,Alexander Zverev
1782892,2019-03-11,4,103819,4600.0,Roger Federer
1782893,2019-03-11,5,105223,4585.0,Juan Martin del Potro
1783571,2019-03-18,1,104925,10990.0,Novak Djokovic
1783572,2019-03-18,2,104745,8725.0,Rafael Nadal
1783573,2019-03-18,3,100644,6630.0,Alexander Zverev
1783574,2019-03-18,4,106233,4755.0,Dominic Thiem
1783575,2019-03-18,5,103819,4600.0,Roger Federer
1784252,2019-04-01,1,104925,11070.0,Novak Djokovic
1784253,2019-04-01,2,104745,8725.0,Rafael Nadal
1784254,2019-04-01,3,100644,6040.0,Alexander Zverev
1784255,2019-04-01,4,103819,5590.0,Roger Federer
1784256,2019-04-01,5,106233,4765.0,Dominic Thiem
1784934,2019-04-08,1,104925,11070.0,Novak Djokovic
1784935,2019-04-08,2,104745,8725.0,Rafael Nadal
1784936,2019-04-08,3,100644,6040.0,Alexander Zverev
1784937,2019-04-08,4,103819,5590.0,Roger Federer
1784938,2019-04-08,5,106233,4765.0,Dominic Thiem
1785619,2019-04-15,1,104925,11070.0,Novak Djokovic
1785620,2019-04-15,2,104745,8725.0,Rafael Nadal
1785621,2019-04-15,3,100644,6040.0,Alexander Zverev
1785622,2019-04-15,4,103819,5590.0,Roger Federer
1785623,2019-04-15,5,106233,4765.0,Dominic Thiem
1786305,2019-04-22,1,104925,11160.0,Novak Djokovic
1786306,2019-04-22,2,104745,8085.0,Rafael Nadal
1786307,2019-04-22,3,100644,5770.0,Alexander Zverev
1786308,2019-04-22,4,103819,5590.0,Roger Federer
1786309,2019-04-22,5,106233,4675.0,Dominic Thiem
1786992,2019-04-29,1,104925,11160.0,Novak Djokovic
1786993,2019-04-29,2,104745,7765.0,Rafael Nadal
1786994,2019-04-29,3,100644,5770.0,Alexander Zverev
1786995,2019-04-29,4,103819,5590.0,Roger Federer
1786996,2019-04-29,5,106233,5085.0,Dominic Thiem
1787678,2019-05-06,1,104925,11160.0,Novak Djokovic
1787679,2019-05-06,2,104745,7765.0,Rafael Nadal
1787680,2019-05-06,3,103819,5590.0,Roger Federer
1787681,2019-05-06,4,100644,5565.0,Alexander Zverev
1787682,2019-05-06,5,106233,5085.0,Dominic Thiem
1788359,2019-05-13,1,104925,12115.0,Novak Djokovic
1788360,2019-05-13,2,104745,7945.0,Rafael Nadal
1788361,2019-05-13,3,103819,5770.0,Roger Federer
1788362,2019-05-13,4,106233,4845.0,Dominic Thiem
1788363,2019-05-13,5,100644,4745.0,Alexander Zverev
1789039,2019-05-20,1,104925,12355.0,Novak Djokovic
1789040,2019-05-20,2,104745,7945.0,Rafael Nadal
1789041,2019-05-20,3,103819,5950.0,Roger Federer
1789042,2019-05-20,4,106233,4845.0,Dominic Thiem
1789043,2019-05-20,5,100644,4155.0,Alexander Zverev
1789719,2019-05-27,1,104925,12355.0,Novak Djokovic
1789720,2019-05-27,2,104745,7945.0,Rafael Nadal
1789721,2019-05-27,3,103819,5950.0,Roger Federer
1789722,2019-05-27,4,106233,4685.0,Dominic Thiem
1789723,2019-05-27,5,100644,4360.0,Alexander Zverev
1790397,2019-06-10,1,104925,12715.0,Novak Djokovic
1790398,2019-06-10,2,104745,7945.0,Rafael Nadal
1790399,2019-06-10,3,103819,6670.0,Roger Federer
1790400,2019-06-10,4,106233,4685.0,Dominic Thiem
1790401,2019-06-10,5,100644,4360.0,Alexander Zverev
1791078,2019-06-17,1,104925,12715.0,Novak Djokovic
1791079,2019-06-17,2,104745,7945.0,Rafael Nadal
1791080,2019-06-17,3,103819,6420.0,Roger Federer
1791081,2019-06-17,4,106233,4685.0,Dominic Thiem
1791082,2019-06-17,5,100644,4360.0,Alexander Zverev
1791760,2019-06-24,1,104925,12415.0,Novak Djokovic
1791761,2019-06-24,2,104745,7945.0,Rafael Nadal
1791762,2019-06-24,3,103819,6620.0,Roger Federer
1791763,2019-06-24,4,106233,4595.0,Dominic Thiem
1791764,2019-06-24,5,100644,4405.0,Alexander Zverev
1792446,2019-07-01,1,104925,12415.0,Novak Djokovic
1792447,2019-07-01,2,104745,7945.0,Rafael Nadal
1792448,2019-07-01,3,103819,6620.0,Roger Federer
1792449,2019-07-01,4,106233,4595.0,Dominic Thiem
1792450,2019-07-01,5,100644,4405.0,Alexander Zverev
1793130,2019-07-15,1,104925,12415.0,Novak Djokovic
1793131,2019-07-15,2,104745,7945.0,Rafael Nadal
1793132,2019-07-15,3,103819,7460.0,Roger Federer
1793133,2019-07-15,4,106233,4595.0,Dominic Thiem
1793134,2019-07-15,5,100644,4325.0,Alexander Zverev
1793817,2019-07-22,1,104925,12415.0,Novak Djokovic
1793818,2019-07-22,2,104745,7945.0,Rafael Nadal
1793819,2019-07-22,3,103819,7460.0,Roger Federer
1793820,2019-07-22,4,106233,4595.0,Dominic Thiem
1793821,2019-07-22,5,100644,4325.0,Alexander Zverev
1794503,2019-07-29,1,104925,12415.0,Novak Djokovic
1794504,2019-07-29,2,104745,7945.0,Rafael Nadal
1794505,2019-07-29,3,103819,7460.0,Roger Federer
1794506,2019-07-29,4,106233,4595.0,Dominic Thiem
1794507,2019-07-29,5,100644,4415.0,Alexander Zverev
1795187,2019-08-05,1,104925,12415.0,Novak Djokovic
1795188,2019-08-05,2,104745,7945.0,Rafael Nadal
1795189,2019-08-05,3,103819,7460.0,Roger Federer
1795190,2019-08-05,4,106233,4755.0,Dominic Thiem
1795191,2019-08-05,5,126774,4045.0,Stefanos Tsitsipas
1797180,2019-08-12,1,104925,12325.0,Novak Djokovic
1797181,2019-08-12,2,104745,7945.0,Rafael Nadal
1797182,2019-08-12,3,103819,7460.0,Roger Federer
1797183,2019-08-12,4,106233,4925.0,Dominic Thiem
1797184,2019-08-12,5,105453,4040.0,Kei Nishikori
1799166,2019-08-19,1,104925,11685.0,Novak Djokovic
1799167,2019-08-19,2,104745,7945.0,Rafael Nadal
1799168,2019-08-19,3,103819,6950.0,Roger Federer
1799169,2019-08-19,4,106233,4925.0,Dominic Thiem
1799170,2019-08-19,5,106421,4195.0,Daniil Medvedev
1801156,2019-08-26,1,104925,11685.0,Novak Djokovic
1801157,2019-08-26,2,104745,7945.0,Rafael Nadal
1801158,2019-08-26,3,103819,6950.0,Roger Federer
