,match_id,match_date,player,dfs,first_in,first_won,second_in,second_won,bk_pts,bp_saved,return_pts,return_pts_won,winners,winners_fh,winners_bh,unforced,unforced_fh,unforced_bh
29965,20170510-M-Madrid_Masters-R32-Novak_Djokovic-Nicolas_Almagro,2017-05-10,Nicolas Almagro,3,50,39,44,15,11,6,85,28,31,9,8,43,19,21
29972,20170510-M-Madrid_Masters-R32-Marin_Cilic-Alexander_Zverev,2017-05-10,Marin Cilic,0,59,45,48,24,11,8,117,39,38,16,6,50,27,23
29973,20170510-M-Madrid_Masters-R32-Marin_Cilic-Alexander_Zverev,2017-05-10,Alexander Zverev,3,77,55,40,23,8,7,107,38,21,7,8,33,11,19
29980,20170510-M-Madrid_Masters-R32-Diego_Schwartzman-Kei_Nishikori,2017-05-10,Diego Schwartzman,5,52,30,30,9,13,7,92,42,19,13,5,25,13,7
29981,20170510-M-Madrid_Masters-R32-Diego_Schwartzman-Kei_Nishikori,2017-05-10,Kei Nishikori,0,60,36,32,14,13,9,82,43,44,15,22,38,20,18
29988,20170510-M-Madrid_Masters-R16-Novak_Djokovic-Feliciano_Lopez,2017-05-10,Novak Djokovic,1,44,35,21,13,1,1,56,15,24,11,5,14,6,7
29989,20170510-M-Madrid_Masters-R16-Novak_Djokovic-Feliciano_Lopez,2017-05-10,Feliciano Lopez,0,35,29,21,12,5,3,65,17,24,12,6,19,10,9
29994,20170510-M-Karshi_CH-R16-Sergiy_Stakhovsky-Karim_Mohamed_Maamoun,2017-05-10,Sergiy Stakhovsky,1,35,34,19,16,0,0,73,24,29,8,8,16,6,9
29995,20170510-M-Karshi_CH-R16-Sergiy_Stakhovsky-Karim_Mohamed_Maamoun,2017-05-10,Karim Mohamed Maamoun,1,55,38,18,11,3,2,54,4,12,5,5,23,13,9
30000,20170509-M-Madrid_Masters-R64-Alexander_Zverev-Fernando_Verdasco,2017-05-09,Alexander Zverev,2,40,27,15,10,2,0,56,26,17,4,3,18,11,5
30001,20170509-M-Madrid_Masters-R64-Alexander_Zverev-Fernando_Verdasco,2017-05-09,Fernando Verdasco,1,38,24,18,6,7,3,55,18,11,9,1,27,14,12
30006,20170509-M-Madrid_Masters-R32-Dominic_Thiem-Jared_Donaldson,2017-05-09,Dominic Thiem,1,48,37,9,3,3,2,52,22,25,15,0,21,11,9
30007,20170509-M-Madrid_Masters-R32-Dominic_Thiem-Jared_Donaldson,2017-05-09,Jared Donaldson,5,25,18,27,12,5,2,57,17,10,5,1,22,13,4
30012,20170508-M-Madrid_Masters-R64-Nick_Kyrgios-Marcos_Baghdatis,2017-05-08,Nick Kyrgios,0,42,34,17,14,0,0,63,19,31,5,10,22,6,16
30013,20170508-M-Madrid_Masters-R64-Nick_Kyrgios-Marcos_Baghdatis,2017-05-08,Marcos Baghdatis,1,33,30,30,14,1,0,59,11,10,4,0,11,5,5
30018,20170508-M-Madrid_Masters-R64-Gael_Monfils-Gilles_Simon,2017-05-08,Gael Monfils,4,48,30,24,8,4,0,94,39,17,9,3,38,21,13
30019,20170508-M-Madrid_Masters-R64-Gael_Monfils-Gilles_Simon,2017-05-08,Gilles Simon,10,53,33,41,22,13,9,72,34,20,12,6,34,12,12
30026,20170508-M-Karshi_CH-R32-Dzmitry_Zhyrmont-Karim_Mohamed_Maamoun,2017-05-08,Dzmitry Zhyrmont,2,52,34,33,17,10,7,76,23,14,8,1,52,20,30
30027,20170508-M-Karshi_CH-R32-Dzmitry_Zhyrmont-Karim_Mohamed_Maamoun,2017-05-08,Karim Mohamed Maamoun,1,51,37,25,16,5,4,85,34,17,8,2,38,26,11
30032,20170430-M-Budapest-F-Lucas_Pouille-Aljaz_Bedene,2017-04-30,Lucas Pouille,2,27,22,21,10,1,0,50,28,27,11,9,17,11,4
30033,20170430-M-Budapest-F-Lucas_Pouille-Aljaz_Bedene,2017-04-30,Aljaz Bedene,1,30,17,20,5,11,6,48,16,11,7,1,17,10,6
30038,20170430-M-Anning_CH-F-Quentin_Halys-Janko_Tipsarevic,2017-04-30,Quentin Halys,4,50,39,36,21,3,1,102,28,36,16,5,39,23,12
30039,20170430-M-Anning_CH-F-Quentin_Halys-Janko_Tipsarevic,2017-04-30,Janko Tipsarevic,1,66,53,36,21,4,4,86,26,32,13,8,20,6,13
30046,20170429-M-Barcelona-SF-Rafael_Nadal-Horacio_Zeballos,2017-04-29,Rafael Nadal,0,45,35,14,9,5,5,58,24,21,16,3,15,9,6
30047,20170429-M-Barcelona-SF-Rafael_Nadal-Horacio_Zeballos,2017-04-29,Horacio Zeballos,2,34,20,24,14,5,3,59,15,19,6,10,23,10,11
30052,20170429-M-Barcelona-SF-Andy_Murray-Dominic_Thiem,2017-04-29,Andy Murray,2,67,36,29,15,10,4,71,27,18,8,9,25,14,9
30053,20170429-M-Barcelona-SF-Andy_Murray-Dominic_Thiem,2017-04-29,Dominic Thiem,4,35,25,36,19,8,4,96,45,42,25,11,30,14,12
30060,20170428-M-Barcelona-QF-Rafael_Nadal-Hyeon_Chung,2017-04-28,Rafael Nadal,1,43,35,17,9,2,1,68,30,22,16,4,24,17,6
30061,20170428-M-Barcelona-QF-Rafael_Nadal-Hyeon_Chung,2017-04-28,Hyeon Chung,2,40,26,28,12,5,2,60,16,15,7,5,27,11,14
30066,20170428-M-Barcelona-QF-Dominic_Thiem-Yuichi_Sugita,2017-04-28,Dominic Thiem,3,29,19,15,8,2,0,34,25,17,9,3,13,6,4
30067,20170428-M-Barcelona-QF-Dominic_Thiem-Yuichi_Sugita,2017-04-28,Yuichi Sugita,1,21,6,13,3,8,2,44,17,3,2,1,23,13,9
30072,20170427-M-Barcelona-R16-Rafael_Nadal-Kevin_Anderson,2017-04-27,Rafael Nadal,0,36,31,13,9,0,0,74,32,16,11,2,18,7,11
30073,20170427-M-Barcelona-R16-Rafael_Nadal-Kevin_Anderson,2017-04-27,Kevin Anderson,1,50,32,24,10,10,8,49,9,20,6,7,28,15,12
30078,20170427-M-Barcelona-R16-Dominic_Thiem-Daniel_Evans,2017-04-27,Dominic Thiem,3,54,42,16,7,6,6,65,23,26,17,3,29,12,14
30079,20170427-M-Barcelona-R16-Dominic_Thiem-Daniel_Evans,2017-04-27,Daniel Evans,2,48,34,17,8,6,4,70,21,17,8,7,18,7,9
30084,20170423-M-Qingdao_CH-F-Oscar_Otte-Janko_Tipsarevic,2017-04-23,Oscar Otte,3,61,39,23,10,11,8,64,22,23,8,9,25,8,14
30085,20170423-M-Qingdao_CH-F-Oscar_Otte-Janko_Tipsarevic,2017-04-23,Janko Tipsarevic,2,36,26,28,16,2,0,84,35,33,20,8,28,19,7
30090,20170423-M-Monte_Carlo_Masters-F-Rafael_Nadal-Albert_Ramos,2017-04-23,Rafael Nadal,1,31,25,10,7,0,0,52,26,21,12,4,17,9,7
30091,20170423-M-Monte_Carlo_Masters-F-Rafael_Nadal-Albert_Ramos,2017-04-23,Albert Ramos,2,31,18,21,8,11,7,41,9,9,7,2,22,11,9
30096,20170422-M-Monte_Carlo_Masters-SF-Rafael_Nadal-David_Goffin,2017-04-22,Rafael Nadal,0,29,20,13,11,4,3,66,34,19,11,4,14,9,5
30097,20170422-M-Monte_Carlo_Masters-SF-Rafael_Nadal-David_Goffin,2017-04-22,David Goffin,0,37,20,29,12,11,6,42,11,15,7,4,25,17,8
30102,20170422-M-Monte_Carlo_Masters-SF-Lucas_Pouille-Albert_Ramos,2017-04-22,Lucas Pouille,4,45,26,38,19,6,1,101,37,34,28,6,41,22,15
30103,20170422-M-Monte_Carlo_Masters-SF-Lucas_Pouille-Albert_Ramos,2017-04-22,Albert Ramos,2,58,42,43,22,9,7,83,38,20,13,3,30,11,17
30110,20170421-M-Monte_Carlo_Masters-QF-Rafael_Nadal-Diego_Schwartzman,2017-04-21,Rafael Nadal,1,40,22,18,9,6,2,58,31,19,11,6,15,6,8
30111,20170421-M-Monte_Carlo_Masters-QF-Rafael_Nadal-Diego_Schwartzman,2017-04-21,Diego Schwartzman,0,31,15,27,12,8,2,58,27,22,10,11,16,12,4
30116,20170421-M-Monte_Carlo_Masters-QF-Novak_Djokovic-David_Goffin,2017-04-21,Novak Djokovic,4,71,47,39,18,17,13,100,40,39,20,12,44,14,26
30117,20170421-M-Monte_Carlo_Masters-QF-Novak_Djokovic-David_Goffin,2017-04-21,David Goffin,2,52,32,48,28,9,7,110,45,30,17,9,38,22,14
30124,20170420-M-Monte_Carlo_Masters-R16-Rafael_Nadal-Alexander_Zverev,2017-04-20,Rafael Nadal,2,21,17,14,11,0,0,57,31,12,9,2,6,2,2
30125,20170420-M-Monte_Carlo_Masters-R16-Rafael_Nadal-Alexander_Zverev,2017-04-20,Alexander Zverev,1,38,18,19,8,12,7,35,7,11,4,5,25,13,11
30130,20170420-M-Monte_Carlo_Masters-R16-Novak_Djokovic-Pablo_Carreno_Busta,2017-04-20,Novak Djokovic,5,59,44,37,14,12,8,96,46,39,21,14,38,16,17
30131,20170420-M-Monte_Carlo_Masters-R16-Novak_Djokovic-Pablo_Carreno_Busta,2017-04-20,Pablo Carreno Busta,0,75,43,21,7,14,8,96,38,20,10,9,29,15,14
30138,20170420-M-Monte_Carlo_Masters-R16-Dominic_Thiem-David_Goffin,2017-04-20,Dominic Thiem,3,66,41,33,18,9,5,93,31,30,15,11,46,17,26
30139,20170420-M-Monte_Carlo_Masters-R16-Dominic_Thiem-David_Goffin,2017-04-20,David Goffin,3,46,33,47,29,4,0,99,40,17,12,3,22,11,8
30146,20170420-M-Monte_Carlo_Masters-R16-Andy_Murray-Albert_Ramos,2017-04-20,Andy Murray,2,53,30,34,13,14,7,99,47,33,17,9,37,18,17
30147,20170420-M-Monte_Carlo_Masters-R16-Andy_Murray-Albert_Ramos,2017-04-20,Albert Ramos,3,71,39,28,13,12,6,87,44,33,19,14,36,18,15
30154,20170419-M-Monte_Carlo_Masters-R32-Kyle_Edmund-Rafael_Nadal,2017-04-19,Kyle Edmund,4,67,33,31,15,11,3,73,30,34,29,5,39,24,11
30155,20170419-M-Monte_Carlo_Masters-R32-Kyle_Edmund-Rafael_Nadal,2017-04-19,Rafael Nadal,3,47,31,26,12,7,3,98,50,20,13,5,10,4,3
30162,20170419-M-Monte_Carlo_Masters-R32-Dominic_Thiem-Robin_Haase,2017-04-19,Dominic Thiem,2,29,25,19,9,1,0,47,23,25,16,6,17,7,8
30163,20170419-M-Monte_Carlo_Masters-R32-Dominic_Thiem-Robin_Haase,2017-04-19,Robin Haase,0,27,17,20,7,5,1,48,14,8,6,2,12,5,7
30168,20170418-M-Qingdao_CH-R32-Thomas_Fabbiano-Karim_Mohamed_Maamoun,2017-04-18,Thomas Fabbiano,0,29,25,17,10,4,4,42,21,16,10,1,17,10,7
30169,20170418-M-Qingdao_CH-R32-Thomas_Fabbiano-Karim_Mohamed_Maamoun,2017-04-18,Karim Mohamed Maamoun,5,21,16,21,5,5,1,46,11,9,6,3,26,9,12
30174,20170418-M-Monte_Carlo_Masters-R32-Novak_Djokovic-Gilles_Simon,2017-04-18,Novak Djokovic,1,51,32,32,19,6,1,93,42,24,15,6,46,22,23
30175,20170418-M-Monte_Carlo_Masters-R32-Novak_Djokovic-Gilles_Simon,2017-04-18,Gilles Simon,1,52,31,41,20,16,10,83,32,21,7,14,37,20,16
30182,20170418-M-Monte_Carlo_Masters-R32-Jo_Wilfried_Tsonga-Adrian_Mannarino,2017-04-18,Jo Wilfried Tsonga,3,55,35,33,14,8,2,94,33,30,16,7,51,34,14
30183,20170418-M-Monte_Carlo_Masters-R32-Jo_Wilfried_Tsonga-Adrian_Mannarino,2017-04-18,Adrian Mannarino,5,60,43,34,18,7,4,88,39,23,13,8,33,10,18
30190,20170416-M-Marrakech-F-Philipp_Kohlschreiber-Borna_Coric,2017-04-16,Philipp Kohlschreiber,2,67,50,42,22,8,5,114,41,32,14,5,51,23,26
30191,20170416-M-Marrakech-F-Philipp_Kohlschreiber-Borna_Coric,2017-04-16,Borna Coric,2,69,46,45,27,9,6,109,37,31,13,8,46,20,24
30198,20170416-M-Houston-F-Steve_Johnson-Thomaz_Bellucci,2017-04-16,Steve Johnson,8,54,42,53,27,9,6,97,35,32,19,4,42,24,10
30199,20170416-M-Houston-F-Steve_Johnson-Thomaz_Bellucci,2017-04-16,Thomaz Bellucci,3,56,39,41,23,3,0,107,38,29,11,10,47,21,23
30206,20170401-M-Miami_Masters-SF-Roger_Federer-Nick_Kyrgios,2017-04-01,Roger Federer,3,75,64,47,27,2,1,148,49,52,30,13,41,20,18
30207,20170401-M-Miami_Masters-SF-Roger_Federer-Nick_Kyrgios,2017-04-01,Nick Kyrgios,4,95,71,53,28,7,6,122,31,34,16,4,36,19,13
30214,20170330-M-Miami_Masters-QF-Tomas_Berdych-Roger_Federer,2017-03-30,Tomas Berdych,4,51,40,44,21,8,5,85,30,41,15,13,21,12,5
30215,20170330-M-Miami_Masters-QF-Tomas_Berdych-Roger_Federer,2017-03-30,Roger Federer,5,52,37,33,18,4,2,95,34,37,19,5,18,8,5
30222,20170329-M-Miami_Masters-QF-Rafael_Nadal-Jack_Sock,2017-03-29,Rafael Nadal,1,42,30,19,10,7,6,48,22,16,11,3,12,4,7
30223,20170329-M-Miami_Masters-QF-Rafael_Nadal-Jack_Sock,2017-03-29,Jack Sock,2,27,17,21,9,5,1,61,21,25,18,5,25,16,7
30228,20170329-M-Miami_Masters-QF-Fabio_Fognini-Kei_Nishikori,2017-03-29,Fabio Fognini,1,36,24,23,11,6,4,50,26,18,10,4,20,8,11
30229,20170329-M-Miami_Masters-QF-Fabio_Fognini-Kei_Nishikori,2017-03-29,Kei Nishikori,0,28,14,22,10,7,2,59,24,10,5,4,25,13,12
30234,20170328-M-Miami_Masters-R16-Stan_Wawrinka-Alexander_Zverev,2017-03-28,Stan Wawrinka,4,40,26,36,17,11,6,73,20,19,10,1,36,16,16
30235,20170328-M-Miami_Masters-R16-Stan_Wawrinka-Alexander_Zverev,2017-03-28,Alexander Zverev,2,42,32,31,21,5,4,76,33,17,10,3,16,1,13
30242,20170328-M-Miami_Masters-R16-Nicolas_Mahut-Rafael_Nadal,2017-03-28,Nicolas Mahut,2,44,34,27,13,1,0,60,12,19,7,5,29,17,10
30243,20170328-M-Miami_Masters-R16-Nicolas_Mahut-Rafael_Nadal,2017-03-28,Rafael Nadal,2,38,35,22,13,0,0,71,24,26,16,8,13,6,5
30248,20170327-M-Miami_Masters-R32-Ivo_Karlovic-Nick_Kyrgios,2017-03-27,Ivo Karlovic,7,74,59,44,22,9,8,95,16,62,20,10,45,14,24
30249,20170327-M-Miami_Masters-R32-Ivo_Karlovic-Nick_Kyrgios,2017-03-27,Nick Kyrgios,2,61,56,34,23,1,1,118,37,46,10,11,6,1,3
30256,20170326-M-Miami-R32-Rafael_Nadal-Philipp_Kohlschreiber,2017-03-26,Rafael Nadal,0,48,37,11,6,3,0,73,30,15,11,3,14,7,7
30257,20170326-M-Miami-R32-Rafael_Nadal-Philipp_Kohlschreiber,2017-03-26,Philipp Kohlschreiber,1,38,28,35,15,8,5,59,16,24,13,4,35,17,17
30264,20170324-M-Miami_Masters-R64-Rafael_Nadal-Dudi_Sela,2017-03-24,Rafael Nadal,0,38,31,15,9,2,2,47,18,15,6,4,21,15,6
30265,20170324-M-Miami_Masters-R64-Rafael_Nadal-Dudi_Sela,2017-03-24,Dudi Sela,1,23,16,24,13,3,1,53,13,10,4,6,15,6,8
30270,20170319-M-Indian_Wells_Masters-F-Roger_Federer-Stan_Wawrinka,2017-03-19,Roger Federer,1,36,28,21,14,3,2,72,30,22,12,8,19,9,9
30271,20170319-M-Indian_Wells_Masters-F-Roger_Federer-Stan_Wawrinka,2017-03-19,Stan Wawrinka,3,43,31,29,11,5,2,57,15,16,9,2,25,10,12
30276,20170318-M-Indian_Wells_Masters-SF-Stan_Wawrinka-Pablo_Carreno_Busta,2017-03-18,Stan Wawrinka,0,25,20,21,16,0,0,59,27,17,11,1,16,8,8
30277,20170318-M-Indian_Wells_Masters-SF-Stan_Wawrinka-Pablo_Carreno_Busta,2017-03-18,Pablo Carreno Busta,0,47,26,12,6,8,5,46,10,10,6,1,28,11,17
30282,20170318-M-Indian_Wells_Masters-SF-Roger_Federer-Jack_Sock,2017-03-18,Roger Federer,2,33,27,29,19,0,0,59,23,26,12,6,16,10,4
30283,20170318-M-Indian_Wells_Masters-SF-Roger_Federer-Jack_Sock,2017-03-18,Jack Sock,2,35,28,24,8,3,1,62,16,15,7,4,23,12,9
30288,20170318-M-Drummondville_CH-SF-Denis_Shapovalov-Felix_Auger_Aliassime,2017-03-18,Denis Shapovalov,3,44,32,22,10,4,2,67,31,20,9,2,22,12,7
30289,20170318-M-Drummondville_CH-SF-Denis_Shapovalov-Felix_Auger_Aliassime,2017-03-18,Felix Auger Aliassime,3,47,28,20,8,8,4,66,24,16,8,3,27,15,9
30294,20170317-M-Indian_Wells_Masters-QF-Jack_Sock-Kei_Nishikori,2017-03-17,Jack Sock,5,45,28,33,23,7,5,81,32,20,13,6,33,16,12
30295,20170317-M-Indian_Wells_Masters-QF-Jack_Sock-Kei_Nishikori,2017-03-17,Kei Nishikori,3,53,38,28,11,11,8,78,27,16,9,3,32,13,16
30302,20170316-M-Indian_Wells_Masters-QF-Stan_Wawrinka-Dominic_Thiem,2017-03-16,Stan Wawrinka,2,77,51,38,21,11,8,98,38,25,10,6,50,23,25
30303,20170316-M-Indian_Wells_Masters-QF-Stan_Wawrinka-Dominic_Thiem,2017-03-16,Dominic Thiem,5,62,42,36,18,5,2,115,43,24,15,3,46,26,15
30310,20170315-M-Indian_Wells_Masters-R16-Pablo_Cuevas-David_Goffin,2017-03-15,Pablo Cuevas,4,54,43,26,15,1,0,73,24,24,9,3,27,12,11
30311,20170315-M-Indian_Wells_Masters-R16-Pablo_Cuevas-David_Goffin,2017-03-15,David Goffin,3,45,35,28,14,5,3,80,22,23,10,8,25,11,11
30318,20170315-M-Indian_Wells_Masters-R16-Dominic_Thiem-Gael_Monfils,2017-03-15,Dominic Thiem,1,29,24,25,16,2,2,55,25,16,7,2,18,8,9
30319,20170315-M-Indian_Wells_Masters-R16-Dominic_Thiem-Gael_Monfils,2017-03-15,Gael Monfils,0,29,18,26,12,6,3,54,14,19,10,3,29,13,16
30324,20170314-M-Indian_Wells_Masters-R32-Steve_Johnson-Roger_Federer,2017-03-14,Steve Johnson,5,55,42,28,15,4,4,78,19,19,8,4,28,15,8
30325,20170314-M-Indian_Wells_Masters-R32-Steve_Johnson-Roger_Federer,2017-03-14,Roger Federer,4,47,41,31,18,0,0,83,26,34,12,5,27,13,10
30330,20170314-M-Indian_Wells_Masters-R32-Stan_Wawrinka-Philipp_Kohlschreiber,2017-03-14,Stan Wawrinka,1,34,26,25,18,0,0,63,23,19,7,6,15,8,6
30331,20170314-M-Indian_Wells_Masters-R32-Stan_Wawrinka-Philipp_Kohlschreiber,2017-03-14,Philipp Kohlschreiber,2,35,29,28,11,10,8,59,15,11,8,2,28,14,12
30336,20170314-M-Indian_Wells_Masters-R32-Rafael_Nadal-Fernando_Verdasco,2017-03-14,Rafael Nadal,1,41,33,15,8,1,0,65,26,24,14,7,16,7,8
30337,20170314-M-Indian_Wells_Masters-R32-Rafael_Nadal-Fernando_Verdasco,2017-03-14,Fernando Verdasco,7,52,36,13,3,5,2,56,15,14,12,2,27,9,11
30342,20170314-M-Indian_Wells_Masters-R32-Novak_Djokovic-Juan_Martin_Del_Potro,2017-03-14,Novak Djokovic,1,51,40,28,16,3,1,91,40,35,14,16,23,8,14
30343,20170314-M-Indian_Wells_Masters-R32-Novak_Djokovic-Juan_Martin_Del_Potro,2017-03-14,Juan Martin Del Potro,3,62,41,29,10,13,8,79,23,30,12,3,24,13,8
30350,20170314-M-Indian_Wells_Masters-R32-Grigor_Dimitrov-Jack_Sock,2017-03-14,Grigor Dimitrov,4,89,63,29,14,11,9,104,33,32,12,3,32,11,17
30351,20170314-M-Indian_Wells_Masters-R32-Grigor_Dimitrov-Jack_Sock,2017-03-14,Jack Sock,5,57,40,47,31,9,7,118,41,46,26,10,43,23,15
30358,20170314-M-Indian_Wells_Masters-R32-Alexander_Zverev-Nick_Kyrgios,2017-03-14,Alexander Zverev,5,27,18,29,17,5,2,50,13,16,5,6,19,7,7
30359,20170314-M-Indian_Wells_Masters-R32-Alexander_Zverev-Nick_Kyrgios,2017-03-14,Nick Kyrgios,2,32,27,18,10,0,0,56,21,19,6,3,11,1,8
30364,20170314-M-Indian_Wells_Masters-R16-Gilles_Muller-Kei_Nishikori,2017-03-14,Gilles Muller,6,27,21,28,8,10,6,48,13,17,2,5,20,8,6
30365,20170314-M-Indian_Wells_Masters-R16-Gilles_Muller-Kei_Nishikori,2017-03-14,Kei Nishikori,1,37,29,11,6,1,1,55,26,20,12,4,13,3,9
30370,20170313-M-Indian_Wells_Masters-R32-Dominic_Thiem-Mischa_Zverev,2017-03-13,Dominic Thiem,0,32,28,13,9,0,0,61,28,28,9,6,6,3,3
30371,20170313-M-Indian_Wells_Masters-R32-Dominic_Thiem-Mischa_Zverev,2017-03-13,Mischa Zverev,4,32,22,29,11,9,6,45,8,18,8,4,25,12,9
30376,20170313-M-Indian_Wells_Masters-R32-Albert_Ramos-David_Goffin,2017-03-13,Albert Ramos,1,39,24,23,15,4,1,77,27,14,5,3,21,8,12
30377,20170313-M-Indian_Wells_Masters-R32-Albert_Ramos-David_Goffin,2017-03-13,David Goffin,2,46,34,31,16,7,5,62,23,27,11,7,39,23,14
30382,20170312-M-Indian_Wells_Masters-R64-Stephane_Robert-Roger_Federer,2017-03-12,Stephane Robert,8,14,8,33,15,5,0,41,12,5,2,2,17,5,4
30383,20170312-M-Indian_Wells_Masters-R64-Stephane_Robert-Roger_Federer,2017-03-12,Roger Federer,1,24,19,17,10,0,0,47,24,22,12,6,22,10,11
30388,20170312-M-Indian_Wells_Masters-R64-Rafael_Nadal-Guido_Pella,2017-03-12,Rafael Nadal,1,35,24,19,10,8,6,46,25,17,11,3,22,13,8
30389,20170312-M-Indian_Wells_Masters-R64-Rafael_Nadal-Guido_Pella,2017-03-12,Guido Pella,1,27,13,19,8,6,1,54,20,12,3,3,26,17,8
30394,20170312-M-Indian_Wells_Masters-R64-Nick_Kyrgios-Horacio_Zeballos,2017-03-12,Nick Kyrgios,0,35,30,18,13,3,3,51,20,28,6,7,12,5,7
30395,20170312-M-Indian_Wells_Masters-R64-Nick_Kyrgios-Horacio_Zeballos,2017-03-12,Horacio Zeballos,2,31,21,20,10,2,0,53,10,13,5,1,19,12,5
30400,20170312-M-Indian_Wells_Masters-R64-Kei_Nishikori-Daniel_Evans,2017-03-12,Kei Nishikori,1,40,29,18,8,6,4,62,29,20,6,13,18,10,7
30401,20170312-M-Indian_Wells_Masters-R64-Kei_Nishikori-Daniel_Evans,2017-03-12,Daniel Evans,5,28,21,34,12,9,5,58,21,16,10,2,21,4,12
30406,20170312-M-Indian_Wells_Masters-R64-Federico_Delbonis-Juan_Martin_Del_Potro,2017-03-12,Federico Delbonis,6,47,30,25,11,7,5,77,27,20,15,4,35,15,14
30407,20170312-M-Indian_Wells_Masters-R64-Federico_Delbonis-Juan_Martin_Del_Potro,2017-03-12,Juan Martin Del Potro,2,50,35,27,15,3,2,72,31,25,10,4,29,13,14
30412,20170312-M-Indian_Wells_Masters-R64-Facundo_Bagnis-Alexander_Zverev,2017-03-12,Facundo Bagnis,3,39,33,34,16,4,3,73,19,13,4,5,30,14,13
30413,20170312-M-Indian_Wells_Masters-R64-Facundo_Bagnis-Alexander_Zverev,2017-03-12,Alexander Zverev,4,43,34,30,20,0,0,73,24,23,6,11,34,17,13
30418,20170311-M-Indian_Wells_Masters-R64-Karen_Khachanov-David_Goffin,2017-03-11,Karen Khachanov,6,49,38,36,12,14,9,93,37,30,13,5,38,17,15
30419,20170311-M-Indian_Wells_Masters-R64-Karen_Khachanov-David_Goffin,2017-03-11,David Goffin,6,53,36,40,20,11,7,85,35,22,5,8,27,13,8
30426,20170311-M-Indian_Wells_Masters-R64-Jo_Wilfried_Tsonga-Fabio_Fognini,2017-03-11,Jo Wilfried Tsonga,3,65,47,56,26,12,9,107,40,41,24,7,46,21,22
30427,20170311-M-Indian_Wells_Masters-R64-Jo_Wilfried_Tsonga-Fabio_Fognini,2017-03-11,Fabio Fognini,6,59,45,48,22,12,8,121,48,34,16,9,28,5,17
30434,20170303-M-Acapulco-SF-Rafael_Nadal-Marin_Cilic,2017-03-03,Rafael Nadal,0,40,27,17,11,7,7,47,24,18,7,8,15,5,10
30435,20170303-M-Acapulco-SF-Rafael_Nadal-Marin_Cilic,2017-03-03,Marin Cilic,2,24,15,23,8,10,6,57,19,19,8,5,27,16,9
30440,20170302-M-Acapulco-R16-Adrian_Mannarino-Dominic_Thiem,2017-03-02,Adrian Mannarino,0,43,23,25,12,9,4,52,18,17,10,4,30,17,13
30441,20170302-M-Acapulco-R16-Adrian_Mannarino-Dominic_Thiem,2017-03-02,Dominic Thiem,1,25,18,27,16,2,0,68,33,19,10,8,15,7,7
30446,20170302-M-Acapulco-QF-Sam_Querrey-Dominic_Thiem,2017-03-02,Sam Querrey,3,29,26,29,14,6,5,49,22,25,10,3,21,14,4
30447,20170302-M-Acapulco-QF-Sam_Querrey-Dominic_Thiem,2017-03-02,Dominic Thiem,2,34,22,15,5,5,1,58,18,11,3,1,21,10,9
30452,20170302-M-Acapulco-QF-Rafael_Nadal-Yoshihito_Nishioka,2017-03-02,Rafael Nadal,4,42,34,28,13,4,2,70,29,26,17,4,38,21,13
30453,20170302-M-Acapulco-QF-Rafael_Nadal-Yoshihito_Nishioka,2017-03-02,Yoshihito Nishioka,4,48,30,22,11,6,2,70,23,16,12,3,25,11,10
30458,20170301-M-Dubai-R16-Roger_Federer-Evgeny_Donskoy,2017-03-01,Roger Federer,2,80,59,29,15,4,1,95,31,40,17,7,33,17,14
30459,20170301-M-Dubai-R16-Roger_Federer-Evgeny_Donskoy,2017-03-01,Evgeny Donskoy,3,46,35,49,29,5,1,109,35,29,19,4,27,14,10
30466,20170301-M-Acapulco-R16-Rafael_Nadal-Paolo_Lorenzi,2017-03-01,Rafael Nadal,1,26,20,9,8,0,0,51,29,21,12,5,11,7,3
30467,20170301-M-Acapulco-R16-Rafael_Nadal-Paolo_Lorenzi,2017-03-01,Paolo Lorenzi,2,28,13,23,9,10,5,35,7,8,3,1,20,11,7
30472,20170301-M-Acapulco-R16-Novak_Djokovic-Juan_Martin_Del_Potro,2017-03-01,Novak Djokovic,1,59,39,34,17,10,6,85,36,33,18,8,30,15,14
30473,20170301-M-Acapulco-R16-Novak_Djokovic-Juan_Martin_Del_Potro,2017-03-01,Juan Martin Del Potro,3,53,36,32,13,7,2,93,37,36,28,3,23,13,7
30480,20170301-M-Acapulco-R16-Donald_Young-Nick_Kyrgios,2017-03-01,Donald Young,3,30,21,19,7,5,2,57,17,12,6,2,21,10,8
30481,20170301-M-Acapulco-R16-Donald_Young-Nick_Kyrgios,2017-03-01,Nick Kyrgios,7,37,29,20,11,2,2,49,21,23,9,2,18,6,5
30486,20170228-M-Acapulco-R32-Rafael_Nadal-Mischa_Zverev,2017-02-28,Rafael Nadal,3,46,36,16,9,1,1,54,20,26,17,7,8,2,3
30487,20170228-M-Acapulco-R32-Rafael_Nadal-Mischa_Zverev,2017-02-28,Mischa Zverev,3,28,22,26,12,5,3,62,17,13,5,4,15,5,7
30492,20170228-M-Acapulco-R32-Gilles_Simon-Dominic_Thiem,2017-02-28,Gilles Simon,1,34,26,36,21,4,3,79,22,16,9,4,29,5,23
30493,20170228-M-Acapulco-R32-Gilles_Simon-Dominic_Thiem,2017-02-28,Dominic Thiem,1,51,39,28,18,8,8,70,23,26,16,1,32,20,11
